7934
; High-resolution solar spectrum between 800-1150 A. 
; Based on measurements with SOHO/SUMER (Curdt et al., 1997)
; wave (A)   flux (photons in arbitrary units)
881.10620    1.02572E+08
881.15057    1.01947E+08
881.19501    1.01504E+08
881.23938    9.99360E+07
881.28375    9.87422E+07
881.32812    9.96302E+07
881.37250    1.02362E+08
881.41687    1.04653E+08
881.46130    1.04377E+08
881.50568    1.05612E+08
881.55005    1.06794E+08
881.59442    1.04985E+08
881.63879    1.02768E+08
881.68323    1.03080E+08
881.72760    1.01441E+08
881.77197    1.01478E+08
881.81635    1.01468E+08
881.86072    1.02151E+08
881.90509    1.05006E+08
881.94952    1.03827E+08
881.99390    9.97864E+07
882.03827    9.69193E+07
882.08264    9.64611E+07
882.12701    9.61313E+07
882.17145    9.49625E+07
882.21582    9.66128E+07
882.26019    9.91711E+07
882.30457    1.00349E+08
882.34900    1.01012E+08
882.39337    1.02851E+08
882.43774    1.03078E+08
882.48212    1.02883E+08
882.52649    1.03947E+08
882.57092    1.04534E+08
882.61530    1.04963E+08
882.65967    1.03910E+08
882.70404    1.04581E+08
882.74847    1.03805E+08
882.79285    1.02369E+08
882.83722    1.02060E+08
882.88159    1.02396E+08
882.92596    1.00638E+08
882.97040    9.91944E+07
883.01477    9.95805E+07
883.05914    1.00551E+08
883.10352    1.01801E+08
883.14795    1.03743E+08
883.19232    1.03887E+08
883.23669    1.03548E+08
883.28113    1.02311E+08
883.32550    1.02921E+08
883.36987    1.05222E+08
883.41425    1.06246E+08
883.45868    1.05291E+08
883.50305    1.03830E+08
883.54742    1.03652E+08
883.59180    1.04250E+08
883.63623    1.05214E+08
883.68060    1.05166E+08
883.72498    1.04782E+08
883.76941    1.02780E+08
883.81378    1.01449E+08
883.85815    1.01068E+08
883.90253    1.00515E+08
883.94696    9.98224E+07
883.99133    9.93486E+07
884.03571    9.76953E+07
884.08014    9.65620E+07
884.12451    9.79270E+07
884.16888    1.00901E+08
884.21326    1.02898E+08
884.25769    1.02237E+08
884.30206    1.03002E+08
884.34644    1.02272E+08
884.39087    1.01811E+08
884.43524    1.01941E+08
884.47961    1.02259E+08
884.52405    1.02293E+08
884.56842    1.02606E+08
884.61279    1.05114E+08
884.65723    1.08819E+08
884.70160    1.08059E+08
884.74597    1.08530E+08
884.79034    1.07443E+08
884.83478    1.06836E+08
884.87915    1.05357E+08
884.92352    1.03202E+08
884.96796    1.02550E+08
885.01233    1.04073E+08
885.05670    1.06233E+08
885.10114    1.05795E+08
885.14551    1.05467E+08
885.18988    1.06418E+08
885.23431    1.06143E+08
885.27869    1.05260E+08
885.32312    1.03351E+08
885.36749    1.02262E+08
885.41187    1.03734E+08
885.45630    1.03877E+08
885.50067    1.03308E+08
885.54504    1.03677E+08
885.58948    1.04069E+08
885.63385    1.03955E+08
885.67822    1.01054E+08
885.72266    1.00895E+08
885.76703    1.03484E+08
885.81140    1.07332E+08
885.85583    1.07872E+08
885.90021    1.03747E+08
885.94464    1.01080E+08
885.98901    1.00127E+08
886.03339    1.00363E+08
886.07782    1.02714E+08
886.12219    1.04294E+08
886.16663    1.06502E+08
886.21100    1.09051E+08
886.25537    1.12809E+08
886.29980    1.13623E+08
886.34418    1.12619E+08
886.38855    1.07745E+08
886.43298    1.06298E+08
886.47736    1.04376E+08
886.52179    1.03150E+08
886.56616    1.06728E+08
886.61060    1.09899E+08
886.65497    1.08212E+08
886.69934    1.09923E+08
886.74377    1.07947E+08
886.78815    1.05110E+08
886.83258    1.05530E+08
886.87695    1.05629E+08
886.92139    1.06492E+08
886.96576    1.07734E+08
887.01013    1.08409E+08
887.05457    1.11552E+08
887.09894    1.11547E+08
887.14337    1.11899E+08
887.18774    1.11454E+08
887.23218    1.09646E+08
887.27655    1.08497E+08
887.32092    1.06088E+08
887.36536    1.05969E+08
887.40973    1.07547E+08
887.45416    1.09438E+08
887.49854    1.09491E+08
887.54297    1.06464E+08
887.58734    1.05610E+08
887.63177    1.05593E+08
887.67615    1.05493E+08
887.72052    1.08178E+08
887.76495    1.12213E+08
887.80933    1.15644E+08
887.85376    1.17554E+08
887.89813    1.18088E+08
887.94257    1.14695E+08
887.98694    1.11884E+08
888.03137    1.10819E+08
888.07574    1.09608E+08
888.12018    1.09456E+08
888.16455    1.09115E+08
888.20898    1.07314E+08
888.25336    1.06387E+08
888.29779    1.05371E+08
888.34216    1.06296E+08
888.38660    1.07004E+08
888.43097    1.06785E+08
888.47540    1.07788E+08
888.51978    1.04932E+08
888.56421    1.05950E+08
888.60858    1.05988E+08
888.65302    1.08970E+08
888.69739    1.11052E+08
888.74182    1.14449E+08
888.78619    1.17707E+08
888.83063    1.17853E+08
888.87500    1.16685E+08
888.91943    1.13410E+08
888.96381    1.12216E+08
889.00824    1.11801E+08
889.05261    1.14189E+08
889.09705    1.14590E+08
889.14142    1.10924E+08
889.18585    1.09061E+08
889.23022    1.08830E+08
889.27466    1.08549E+08
889.31903    1.08657E+08
889.36346    1.10631E+08
889.40784    1.12389E+08
889.45227    1.14371E+08
889.49664    1.14953E+08
889.54108    1.11554E+08
889.58551    1.10511E+08
889.62988    1.10217E+08
889.67432    1.09541E+08
889.71869    1.10582E+08
889.76312    1.09965E+08
889.80750    1.08421E+08
889.85193    1.06773E+08
889.89630    1.06362E+08
889.94073    1.07560E+08
889.98517    1.09619E+08
890.02954    1.13031E+08
890.07397    1.15632E+08
890.11835    1.14758E+08
890.16278    1.12480E+08
890.20715    1.10309E+08
890.25159    1.11114E+08
890.29602    1.14881E+08
890.34039    1.15362E+08
890.38483    1.15080E+08
890.42920    1.16928E+08
890.47363    1.15671E+08
890.51807    1.15325E+08
890.56244    1.14149E+08
890.60687    1.12371E+08
890.65125    1.12695E+08
890.69568    1.13428E+08
890.74005    1.14043E+08
890.78448    1.13888E+08
890.82892    1.13388E+08
890.87329    1.13278E+08
890.91772    1.12806E+08
890.96216    1.11280E+08
891.00653    1.07991E+08
891.05096    1.06942E+08
891.09534    1.07439E+08
891.13977    1.10244E+08
891.18420    1.13871E+08
891.22858    1.16395E+08
891.27301    1.19044E+08
891.31738    1.20149E+08
891.36182    1.17866E+08
891.40625    1.15537E+08
891.45062    1.16994E+08
891.49506    1.17290E+08
891.53949    1.17021E+08
891.58386    1.16250E+08
891.62830    1.17016E+08
891.67273    1.18323E+08
891.71710    1.21300E+08
891.76154    1.19790E+08
891.80591    1.18826E+08
891.85034    1.16945E+08
891.89478    1.16129E+08
891.93915    1.14950E+08
891.98358    1.12802E+08
892.00800    1.11511E+08
892.05243    1.13522E+08
892.09680    1.13959E+08
892.14124    1.15707E+08
892.18567    1.15872E+08
892.23004    1.13938E+08
892.27448    1.12422E+08
892.31891    1.11458E+08
892.36328    1.12260E+08
892.40771    1.13903E+08
892.45215    1.16589E+08
892.49652    1.18300E+08
892.54095    1.19798E+08
892.58539    1.20469E+08
892.62976    1.18922E+08
892.67419    1.16696E+08
892.71863    1.15408E+08
892.76300    1.12369E+08
892.80743    1.11031E+08
892.85187    1.11296E+08
892.89624    1.11210E+08
892.94067    1.10356E+08
892.98193    1.09847E+08
893.02625    1.10295E+08
893.07062    1.12201E+08
893.11493    1.12358E+08
893.15930    1.13751E+08
893.20361    1.14511E+08
893.24799    1.14827E+08
893.29236    1.14859E+08
893.33667    1.16743E+08
893.38104    1.16745E+08
893.42535    1.16248E+08
893.46973    1.15076E+08
893.51404    1.13126E+08
893.55841    1.09787E+08
893.60272    1.07340E+08
893.64709    1.08040E+08
893.69141    1.10108E+08
893.73578    1.14787E+08
893.78009    1.16459E+08
893.82446    1.17374E+08
893.86884    1.14963E+08
893.91315    1.14911E+08
893.95752    1.16138E+08
894.00183    1.15029E+08
894.04620    1.13050E+08
894.09052    1.13406E+08
894.13489    1.13766E+08
894.17926    1.12173E+08
894.22357    1.14754E+08
894.26794    1.15742E+08
894.31226    1.19651E+08
894.35663    1.20988E+08
894.40094    1.21100E+08
894.44531    1.20812E+08
894.48969    1.18355E+08
894.53400    1.15565E+08
894.57837    1.16055E+08
894.62268    1.15689E+08
894.66705    1.15867E+08
894.71143    1.15194E+08
894.75574    1.16832E+08
894.80011    1.18429E+08
894.84442    1.18506E+08
894.88879    1.15580E+08
894.93317    1.13264E+08
894.97748    1.15921E+08
895.02185    1.19563E+08
895.06616    1.27452E+08
895.11053    1.39029E+08
895.15491    1.49817E+08
895.19922    1.52383E+08
895.24359    1.45279E+08
895.28790    1.36614E+08
895.33228    1.28276E+08
895.37665    1.21908E+08
895.42096    1.19716E+08
895.46533    1.19190E+08
895.50970    1.19471E+08
895.55402    1.19170E+08
895.59839    1.18082E+08
895.64276    1.17082E+08
895.68707    1.15455E+08
895.73145    1.14494E+08
895.77582    1.14868E+08
895.82013    1.13890E+08
895.86450    1.12531E+08
895.90881    1.13134E+08
895.95319    1.14009E+08
895.99756    1.13727E+08
896.04187    1.14743E+08
896.08624    1.15174E+08
896.13062    1.13980E+08
896.17493    1.14138E+08
896.21930    1.16846E+08
896.26367    1.18845E+08
896.30798    1.19306E+08
896.35236    1.18106E+08
896.39673    1.18501E+08
896.44104    1.17770E+08
896.48541    1.17147E+08
896.52979    1.18528E+08
896.57416    1.18934E+08
896.61847    1.17299E+08
896.66284    1.16425E+08
896.70721    1.14524E+08
896.75153    1.14062E+08
896.79590    1.13701E+08
896.84027    1.13711E+08
896.88458    1.12582E+08
896.92896    1.10588E+08
896.97333    1.10180E+08
897.01770    1.11997E+08
897.06201    1.14643E+08
897.10638    1.17178E+08
897.15076    1.16374E+08
897.19507    1.15545E+08
897.23944    1.15223E+08
897.28381    1.14955E+08
897.32812    1.14351E+08
897.37250    1.15967E+08
897.41687    1.15181E+08
897.46124    1.14737E+08
897.50555    1.17646E+08
897.54993    1.20744E+08
897.59430    1.21099E+08
897.63861    1.21872E+08
897.68298    1.22573E+08
897.72736    1.21680E+08
897.77173    1.20945E+08
897.81604    1.18541E+08
897.86041    1.17463E+08
897.90479    1.19953E+08
897.94916    1.21325E+08
897.99353    1.21434E+08
898.03784    1.19561E+08
898.08221    1.21181E+08
898.12659    1.21437E+08
898.17096    1.19195E+08
898.21527    1.16360E+08
898.25964    1.18070E+08
898.30402    1.18857E+08
898.34839    1.18644E+08
898.39270    1.17206E+08
898.43707    1.16892E+08
898.48145    1.18277E+08
898.52582    1.18266E+08
898.57013    1.15891E+08
898.61450    1.14343E+08
898.65887    1.19290E+08
898.70325    1.22383E+08
898.74762    1.22595E+08
898.79193    1.18077E+08
898.83630    1.14036E+08
898.88068    1.14511E+08
898.92505    1.15806E+08
898.96936    1.18779E+08
899.01373    1.19964E+08
899.05811    1.19949E+08
899.10248    1.23633E+08
899.14685    1.27800E+08
899.19116    1.30255E+08
899.23553    1.27744E+08
899.27991    1.23948E+08
899.32428    1.22307E+08
899.36865    1.20246E+08
899.41296    1.20435E+08
899.45734    1.22290E+08
899.50171    1.24280E+08
899.54608    1.25126E+08
899.59045    1.25055E+08
899.63483    1.23174E+08
899.67914    1.22227E+08
899.72351    1.20894E+08
899.76788    1.19802E+08
899.81226    1.20211E+08
899.85663    1.21038E+08
899.90094    1.23178E+08
899.94531    1.27207E+08
899.98969    1.28773E+08
900.03406    1.27397E+08
900.07843    1.27485E+08
900.12280    1.28398E+08
900.16718    1.25876E+08
900.21155    1.23870E+08
900.25586    1.23855E+08
900.30023    1.24965E+08
900.34460    1.25460E+08
900.38898    1.24197E+08
900.43335    1.21521E+08
900.47772    1.19962E+08
900.52203    1.19698E+08
900.56641    1.20287E+08
900.61078    1.23081E+08
900.65515    1.27763E+08
900.69952    1.32716E+08
900.74390    1.35033E+08
900.78827    1.34385E+08
900.83264    1.32360E+08
900.87695    1.29680E+08
900.92133    1.26945E+08
900.96570    1.27629E+08
901.01007    1.27527E+08
901.05444    1.25803E+08
901.09882    1.23613E+08
901.14319    1.22295E+08
901.18756    1.22249E+08
901.23193    1.23195E+08
901.27631    1.22714E+08
901.32062    1.23322E+08
901.36499    1.21760E+08
901.40936    1.20935E+08
901.45374    1.20502E+08
901.49811    1.20922E+08
901.54248    1.24634E+08
901.58685    1.28236E+08
901.63123    1.30511E+08
901.67560    1.34173E+08
901.71997    1.33601E+08
901.76434    1.31748E+08
901.80865    1.27980E+08
901.85303    1.28227E+08
901.89740    1.27964E+08
901.94177    1.29683E+08
901.98615    1.30747E+08
902.03052    1.26624E+08
902.07489    1.24027E+08
902.11926    1.24938E+08
902.16364    1.23544E+08
902.20801    1.25264E+08
902.25238    1.26800E+08
902.29675    1.29429E+08
902.34113    1.30492E+08
902.38550    1.29598E+08
902.42987    1.29952E+08
902.47424    1.30184E+08
902.51862    1.29221E+08
902.56299    1.29745E+08
902.60730    1.29090E+08
902.65167    1.27814E+08
902.69604    1.23738E+08
902.74042    1.22061E+08
902.78479    1.21610E+08
902.82916    1.22883E+08
902.87354    1.26268E+08
902.91791    1.30393E+08
902.96228    1.32584E+08
903.00665    1.32213E+08
903.05103    1.28473E+08
903.09540    1.25501E+08
903.13977    1.26783E+08
903.18414    1.31633E+08
903.22852    1.33223E+08
903.27289    1.32985E+08
903.31726    1.34488E+08
903.36163    1.37617E+08
903.40601    1.41256E+08
903.45038    1.51638E+08
903.49475    1.72952E+08
903.53912    2.08738E+08
903.58350    2.30259E+08
903.62787    2.20458E+08
903.67224    1.86055E+08
903.71661    1.60664E+08
903.76099    1.53338E+08
903.80536    1.62187E+08
903.84973    1.83927E+08
903.89410    2.12148E+08
903.93848    2.35618E+08
903.98285    2.54744E+08
904.02722    2.84517E+08
904.07159    3.33097E+08
904.11597    3.73285E+08
904.16040    3.65360E+08
904.20471    3.03503E+08
904.24915    2.28965E+08
904.29352    1.80858E+08
904.33789    1.67564E+08
904.38226    1.74537E+08
904.42664    1.90657E+08
904.47101    1.96133E+08
904.51538    1.83984E+08
904.55975    1.67312E+08
904.60413    1.54266E+08
904.64850    1.43768E+08
904.69287    1.38993E+08
904.73724    1.35274E+08
904.78162    1.33511E+08
904.82599    1.33208E+08
904.87036    1.30637E+08
904.91473    1.30168E+08
904.95911    1.32144E+08
905.00354    1.33470E+08
905.04791    1.33428E+08
905.09229    1.32516E+08
905.13666    1.30536E+08
905.18103    1.27430E+08
905.22540    1.26867E+08
905.26978    1.27641E+08
905.31415    1.31175E+08
905.35852    1.34153E+08
905.40289    1.36700E+08
905.44727    1.38333E+08
905.49164    1.36911E+08
905.53601    1.36363E+08
905.58044    1.33850E+08
905.62482    1.31257E+08
905.66919    1.28657E+08
905.71356    1.27299E+08
905.75793    1.27379E+08
905.80231    1.28344E+08
905.84668    1.27805E+08
905.89105    1.24804E+08
905.93549    1.23729E+08
905.97986    1.23509E+08
905.98132    1.38573E+08
906.02563    1.36695E+08
906.06989    1.37491E+08
906.11420    1.38817E+08
906.15851    1.38384E+08
906.20282    1.40914E+08
906.24713    1.41935E+08
906.29144    1.42561E+08
906.33575    1.44011E+08
906.38007    1.45923E+08
906.42438    1.46090E+08
906.46869    1.45818E+08
906.51300    1.44227E+08
906.55731    1.41492E+08
906.60162    1.37117E+08
906.64594    1.33536E+08
906.69025    1.34453E+08
906.73456    1.37363E+08
906.77881    1.45223E+08
906.82312    1.51101E+08
906.86743    1.50186E+08
906.91174    1.46693E+08
906.95605    1.45677E+08
907.00037    1.44621E+08
907.04468    1.41775E+08
907.08899    1.39335E+08
907.13330    1.39113E+08
907.17761    1.40018E+08
907.22192    1.39609E+08
907.26624    1.41988E+08
907.31055    1.43754E+08
907.35486    1.45783E+08
907.39917    1.49349E+08
907.44348    1.49228E+08
907.48779    1.49248E+08
907.53210    1.47025E+08
907.57642    1.44185E+08
907.62073    1.43187E+08
907.66504    1.43724E+08
907.70935    1.43125E+08
907.75366    1.42471E+08
907.79797    1.45486E+08
907.84229    1.47075E+08
907.88660    1.45452E+08
907.93091    1.40526E+08
907.97522    1.37076E+08
908.01953    1.34941E+08
908.06384    1.33964E+08
908.10815    1.33582E+08
908.15247    1.36689E+08
908.19678    1.38171E+08
908.24109    1.41057E+08
908.28540    1.43477E+08
908.32971    1.46550E+08
908.37402    1.46227E+08
908.41833    1.45706E+08
908.46265    1.46535E+08
908.50696    1.47733E+08
908.55127    1.48782E+08
908.59558    1.47959E+08
908.63989    1.47428E+08
908.68420    1.44900E+08
908.72852    1.42976E+08
908.77283    1.42809E+08
908.81720    1.43501E+08
908.86145    1.42102E+08
908.90576    1.41310E+08
908.95013    1.40465E+08
908.99445    1.41114E+08
909.03876    1.42250E+08
909.08307    1.45679E+08
909.12738    1.45141E+08
909.17169    1.43318E+08
909.21600    1.43327E+08
909.26031    1.45596E+08
909.30463    1.50311E+08
909.34894    1.51393E+08
909.39325    1.47365E+08
909.43756    1.46613E+08
909.48187    1.46835E+08
909.52618    1.46649E+08
909.57056    1.46764E+08
909.61487    1.47935E+08
909.65918    1.46002E+08
909.70349    1.43566E+08
909.74780    1.42902E+08
909.79211    1.41219E+08
909.83643    1.41560E+08
909.88074    1.40806E+08
909.92505    1.39766E+08
909.96936    1.38286E+08
910.01367    1.36746E+08
910.05804    1.38873E+08
910.10236    1.43193E+08
910.14667    1.44450E+08
910.19098    1.44233E+08
910.23529    1.44059E+08
910.27960    1.43714E+08
910.32391    1.42734E+08
910.36823    1.43008E+08
910.41260    1.44373E+08
910.45691    1.44426E+08
910.50122    1.45522E+08
910.54553    1.48384E+08
910.58984    1.51627E+08
910.63416    1.51236E+08
910.67847    1.52218E+08
910.72284    1.51474E+08
910.76715    1.52384E+08
910.81146    1.50418E+08
910.85577    1.47601E+08
910.90009    1.47896E+08
910.94440    1.50688E+08
910.98871    1.51728E+08
911.03302    1.50333E+08
911.07739    1.49986E+08
911.12170    1.51981E+08
911.16602    1.52977E+08
911.21033    1.49397E+08
911.25464    1.47467E+08
911.29895    1.47529E+08
911.34332    1.48517E+08
911.38763    1.47222E+08
911.43195    1.46794E+08
911.47626    1.46581E+08
911.52057    1.48877E+08
911.56488    1.48301E+08
911.60925    1.45008E+08
911.65356    1.44532E+08
911.69788    1.46732E+08
911.74219    1.52986E+08
911.78650    1.53455E+08
911.83081    1.48049E+08
911.87518    1.43283E+08
911.91949    1.41376E+08
911.96381    1.43831E+08
912.02814    1.47311E+08
912.07245    1.46648E+08
912.11676    1.48464E+08
912.16113    1.53419E+08
912.20544    1.58596E+08
912.24976    1.61019E+08
912.29407    1.58783E+08
912.33844    1.53677E+08
912.38275    1.51004E+08
912.42706    1.49634E+08
912.47137    1.48098E+08
912.51569    1.51350E+08
912.56006    1.55306E+08
912.60437    1.56674E+08
912.64868    1.57828E+08
912.69299    1.55309E+08
912.73730    1.55114E+08
912.78168    1.53596E+08
912.82599    1.52464E+08
912.87030    1.51810E+08
912.91461    1.52495E+08
912.95898    1.54555E+08
913.00330    1.59120E+08
913.04761    1.59388E+08
913.09192    1.58596E+08
913.13629    1.58282E+08
913.18060    1.55220E+08
913.22491    1.52800E+08
913.26923    1.49142E+08
913.31360    1.47656E+08
913.35791    1.50182E+08
913.40222    1.51499E+08
913.44653    1.52110E+08
913.49091    1.49597E+08
913.53522    1.47380E+08
913.57953    1.45160E+08
913.62384    1.44015E+08
913.66821    1.46617E+08
913.71252    1.50511E+08
913.75684    1.56467E+08
913.80121    1.58752E+08
913.84552    1.54721E+08
913.88983    1.47729E+08
913.93414    1.42397E+08
913.97852    1.43758E+08
914.02283    1.43836E+08
914.06714    1.37185E+08
914.11151    1.28842E+08
914.15582    1.24389E+08
914.20013    1.27580E+08
914.24451    1.35466E+08
914.28882    1.36699E+08
914.33313    1.25958E+08
914.37744    1.12321E+08
914.42181    1.03884E+08
914.46613    1.08751E+08
914.51044    1.22981E+08
914.55481    1.30814E+08
914.59912    1.31336E+08
914.64343    1.21770E+08
914.68781    1.03595E+08
914.73212    9.24569E+07
914.77643    9.72462E+07
914.82080    1.15237E+08
914.86511    1.31527E+08
914.90942    1.36660E+08
914.95380    1.28898E+08
914.99811    1.10099E+08
915.04242    8.56157E+07
915.08679    6.75947E+07
915.13110    6.61948E+07
915.17542    8.02517E+07
915.21979    1.02489E+08
915.26410    1.22639E+08
915.30841    1.35170E+08
915.35278    1.34398E+08
915.39709    1.18183E+08
915.44141    9.25521E+07
915.48578    7.21146E+07
915.53009    7.04191E+07
915.57440    8.14600E+07
915.61877    9.43966E+07
915.66309    1.01644E+08
915.70746    1.13941E+08
915.75177    1.26990E+08
915.79608    1.36527E+08
915.84045    1.40029E+08
915.88477    1.43319E+08
915.92914    1.47711E+08
915.97345    1.52583E+08
916.01776    1.46484E+08
916.06213    1.17335E+08
916.10645    7.75075E+07
916.15076    5.09256E+07
916.19513    4.39688E+07
916.23944    5.43575E+07
916.28381    7.85740E+07
916.32812    1.07326E+08
916.37244    1.32419E+08
916.41681    1.43324E+08
916.46112    1.38162E+08
916.50549    1.20326E+08
916.54980    1.00714E+08
916.59412    9.66748E+07
916.63849    1.20908E+08
916.68280    1.53219E+08
916.72717    1.55323E+08
916.77148    1.23713E+08
916.81586    8.36116E+07
916.86017    5.60703E+07
916.90448    4.05755E+07
916.94885    3.92750E+07
916.99316    4.85929E+07
917.03754    6.73378E+07
917.08185    9.40099E+07
917.12616    1.18163E+08
917.17053    1.34564E+08
917.21484    1.38555E+08
917.25922    1.27680E+08
917.30353    1.01617E+08
917.34790    6.88644E+07
917.39221    4.39489E+07
917.43658    2.86953E+07
917.48090    2.02848E+07
917.52527    1.55194E+07
917.56958    1.26853E+07
917.61389    1.18251E+07
917.65826    1.29503E+07
917.70258    1.41453E+07
917.74695    1.67299E+07
917.79126    1.85810E+07
917.83563    2.28352E+07
917.87994    2.98644E+07
917.92432    4.33837E+07
917.96863    6.58074E+07
918.01300    9.70456E+07
918.05731    1.25023E+08
918.10168    1.40904E+08
918.14600    1.42278E+08
918.19037    1.30558E+08
918.23468    1.05050E+08
918.27905    7.43598E+07
918.32336    4.88231E+07
918.36774    3.25027E+07
918.41205    2.22942E+07
918.45642    1.59266E+07
918.50073    1.21105E+07
918.54510    1.09747E+07
918.58942    9.84000E+06
918.63379    1.03971E+07
918.67810    1.14362E+07
918.72247    1.23218E+07
918.76678    1.23502E+07
918.81116    1.17402E+07
918.85547    1.20442E+07
918.89984    1.19459E+07
918.94415    1.22661E+07
918.98853    1.32666E+07
919.03284    1.51767E+07
919.07721    1.93628E+07
919.12152    2.90398E+07
919.16589    4.66794E+07
919.21021    7.66527E+07
919.25458    1.12079E+08
919.29895    1.41351E+08
919.34326    1.54516E+08
919.38763    1.52229E+08
919.43195    1.32829E+08
919.47632    9.84854E+07
919.52063    6.42578E+07
919.56500    4.42778E+07
919.60931    3.73105E+07
919.65369    3.44757E+07
919.69806    2.75649E+07
919.74237    1.89876E+07
919.78674    1.39234E+07
919.83105    1.32313E+07
919.87543    1.45428E+07
919.91974    1.52577E+07
919.96411    1.29400E+07
920.00842    9.50849E+06
920.05280    7.45396E+06
920.09717    7.21029E+06
920.14148    7.05856E+06
920.18585    7.12041E+06
920.23016    6.61849E+06
920.27454    6.49420E+06
920.30695    7.21322E+06
920.35126    7.36791E+06
920.39551    8.20093E+06
920.43982    9.88310E+06
920.48407    1.17978E+07
920.52832    1.45143E+07
920.57263    1.69809E+07
920.61688    2.09613E+07
920.66119    2.84805E+07
920.70544    4.09728E+07
920.74969    6.23965E+07
920.79401    9.27748E+07
920.83826    1.20523E+08
920.88257    1.40497E+08
920.92682    1.53477E+08
920.97107    1.57561E+08
921.01538    1.49189E+08
921.05963    1.22582E+08
921.10394    8.84837E+07
921.14819    5.68321E+07
921.19244    3.65507E+07
921.23676    2.58001E+07
921.28101    1.87055E+07
921.32532    1.45465E+07
921.36957    1.20057E+07
921.41388    1.08474E+07
921.45813    1.14888E+07
921.50238    1.40320E+07
921.54669    1.62683E+07
921.59094    1.57507E+07
921.63525    1.22249E+07
921.67950    1.03671E+07
921.72382    1.24394E+07
921.76807    2.00725E+07
921.81238    3.09724E+07
921.85663    3.86656E+07
921.90094    4.31325E+07
921.94519    4.87340E+07
921.98944    5.58810E+07
922.03375    5.58115E+07
922.07800    4.46618E+07
922.12231    3.20759E+07
922.16656    2.32116E+07
922.21088    1.74020E+07
922.25513    1.26557E+07
922.29944    1.00548E+07
922.34369    1.02992E+07
922.38800    1.28533E+07
922.43225    1.74207E+07
922.47656    2.15749E+07
922.52081    2.29166E+07
922.56512    2.10828E+07
922.60938    1.84467E+07
922.65369    1.70372E+07
922.69794    1.63670E+07
922.74225    1.76452E+07
922.78650    1.94134E+07
922.83081    2.42899E+07
922.87506    3.43357E+07
922.91937    5.46813E+07
922.96362    8.50710E+07
923.00793    1.23775E+08
923.05219    1.58744E+08
923.09650    1.82071E+08
923.14075    1.94921E+08
923.18506    2.02267E+08
923.22931    1.92458E+08
923.27362    1.60550E+08
923.31787    1.16355E+08
923.36218    7.60960E+07
923.40643    4.86558E+07
923.45074    3.25682E+07
923.49500    2.49243E+07
923.53931    2.12270E+07
923.58362    1.82858E+07
923.62787    1.59640E+07
923.67218    1.65675E+07
923.71643    1.78652E+07
923.76074    1.86798E+07
923.80499    1.69600E+07
923.84930    1.32603E+07
923.89355    1.01126E+07
923.93787    8.13316E+06
923.98218    8.25045E+06
924.02643    9.81629E+06
924.07074    1.32893E+07
924.11499    1.64120E+07
924.15930    1.91233E+07
924.20355    2.15199E+07
924.24786    2.40185E+07
924.29211    2.47596E+07
924.33643    2.08600E+07
924.38074    1.50755E+07
924.42499    1.01038E+07
924.46930    7.04344E+06
924.51355    5.46930E+06
924.55786    4.49663E+06
924.60211    3.89584E+06
924.64642    3.63839E+06
924.69073    3.72030E+06
924.73499    4.13572E+06
924.77930    5.57624E+06
924.82361    9.22003E+06
924.86786    1.71750E+07
924.91217    2.87160E+07
924.95642    3.31856E+07
925.00073    2.63171E+07
925.04498    1.50071E+07
925.08929    8.42332E+06
925.13361    5.92252E+06
925.17786    5.07137E+06
925.22217    5.02061E+06
925.26648    5.54673E+06
925.31073    7.42811E+06
925.35504    1.08547E+07
925.39929    1.46898E+07
925.44360    1.49146E+07
925.48792    1.13884E+07
925.53217    8.21872E+06
925.57648    6.85944E+06
925.62079    6.98959E+06
925.66504    7.88875E+06
925.70935    1.04386E+07
925.75360    1.45363E+07
925.79791    1.79755E+07
925.84222    2.08667E+07
925.88647    2.46302E+07
925.93079    3.26664E+07
925.97510    5.06503E+07
926.01935    7.96103E+07
926.06366    1.20884E+08
926.10797    1.63320E+08
926.15222    1.92559E+08
926.19653    2.05908E+08
926.24084    2.02735E+08
926.28510    1.86698E+08
926.32941    1.53622E+08
926.37372    1.09489E+08
926.41797    7.06131E+07
926.46228    4.48251E+07
926.50659    2.83983E+07
926.55084    1.96911E+07
926.59515    1.44919E+07
926.63947    1.17745E+07
926.68372    1.18396E+07
926.72803    1.33422E+07
926.77234    1.60906E+07
926.81665    1.78843E+07
926.86090    1.80827E+07
926.90521    1.60739E+07
926.94952    1.11722E+07
926.99377    7.30251E+06
927.03809    6.10497E+06
927.08240    6.16167E+06
927.12665    6.82328E+06
927.17096    7.10047E+06
927.21527    6.03600E+06
927.25958    5.09513E+06
927.30383    5.22435E+06
927.34814    6.01423E+06
927.39246    6.43510E+06
927.43671    5.55414E+06
927.48102    4.60385E+06
927.52533    3.84575E+06
927.56964    3.47109E+06
927.61389    3.60190E+06
927.65820    4.04863E+06
927.70251    5.13456E+06
927.74683    7.63834E+06
927.79108    1.01634E+07
927.83539    1.11418E+07
927.87970    9.96249E+06
927.92395    7.68034E+06
927.96826    6.21909E+06
928.01257    5.74061E+06
928.05688    5.61290E+06
928.10120    5.38702E+06
928.14545    4.77800E+06
928.18976    4.38631E+06
928.23407    4.10380E+06
928.27832    3.99179E+06
928.32263    4.61977E+06
928.36694    5.44788E+06
928.41125    6.32346E+06
928.45557    7.02154E+06
928.49982    6.62782E+06
