7934
; High-resolution solar spectrum between 800-1150 A. 
; Based on measurements with SOHO/SUMER (Curdt et al., 1997)
; wave (A)   flux (photons in arbitrary units)
810.66754    2.88707E+07
810.71216    2.92378E+07
810.75671    2.90962E+07
810.80133    2.92524E+07
810.84595    2.82204E+07
810.89056    2.91671E+07
810.93512    2.90573E+07
810.97974    2.87309E+07
811.02435    2.85917E+07
811.06897    2.87141E+07
811.11359    2.87031E+07
811.15820    2.84725E+07
811.20276    2.82248E+07
811.24738    2.95149E+07
811.29199    2.97469E+07
811.33661    2.99302E+07
811.38123    3.01732E+07
811.42578    3.08292E+07
811.47040    3.10085E+07
811.51501    3.04498E+07
811.55963    2.95334E+07
811.60425    2.99862E+07
811.64886    2.92156E+07
811.69342    3.04395E+07
811.73804    2.97725E+07
811.78265    2.92390E+07
811.82727    2.97313E+07
811.87189    2.93351E+07
811.91650    2.92178E+07
811.96106    2.89057E+07
812.00568    2.94594E+07
812.05029    2.99852E+07
812.09491    3.02239E+07
812.13953    3.01558E+07
812.18414    2.96638E+07
812.22876    2.95689E+07
812.27332    2.91285E+07
812.31793    2.95425E+07
812.36255    2.99112E+07
812.40717    2.97145E+07
812.45178    2.94782E+07
812.49640    2.81506E+07
812.54095    2.88756E+07
812.58557    2.93959E+07
812.63019    2.92661E+07
812.67480    3.03616E+07
812.71942    3.06590E+07
812.76404    3.09507E+07
812.80865    3.05136E+07
812.85321    3.11028E+07
812.89783    3.07717E+07
812.94244    3.22110E+07
812.98706    3.24716E+07
813.03168    3.20728E+07
813.07629    3.26207E+07
813.12091    3.19590E+07
813.16553    3.15066E+07
813.21014    3.13381E+07
813.25470    3.21187E+07
813.29932    3.35725E+07
813.34393    3.42916E+07
813.38855    3.36790E+07
813.43317    3.11702E+07
813.47778    3.04384E+07
813.52240    2.94735E+07
813.56702    2.93885E+07
813.61163    2.96117E+07
813.65625    2.91873E+07
813.70081    2.85842E+07
813.74542    2.87776E+07
813.79004    3.00723E+07
813.83466    3.03904E+07
813.87927    3.12760E+07
813.92389    3.14718E+07
813.96851    3.20448E+07
814.01862    3.32655E+07
814.06317    3.24530E+07
814.10773    3.36818E+07
814.15228    3.53444E+07
814.19684    3.54162E+07
814.24133    3.44121E+07
814.28589    3.37859E+07
814.33044    3.22540E+07
814.37500    3.22130E+07
814.41956    3.24408E+07
814.46411    3.33439E+07
814.50867    3.39750E+07
814.55316    3.35326E+07
814.59772    3.32038E+07
814.64227    3.34519E+07
814.68683    3.45942E+07
814.73138    3.38575E+07
814.77594    3.44501E+07
814.82050    3.53899E+07
814.86505    3.65348E+07
814.90961    3.63306E+07
814.95410    3.69972E+07
814.99866    3.87358E+07
815.04321    3.94344E+07
815.08777    3.81406E+07
815.13232    3.62744E+07
815.17688    3.58981E+07
815.22144    3.47213E+07
815.26599    3.47440E+07
815.31055    3.46797E+07
815.35504    3.45325E+07
815.39960    3.46275E+07
815.44415    3.36590E+07
815.48871    3.29375E+07
815.53326    3.34376E+07
815.57782    3.42634E+07
815.62238    3.40609E+07
815.66693    3.50993E+07
815.71149    3.56026E+07
815.75604    3.58926E+07
815.80060    3.79467E+07
815.84515    4.29954E+07
815.88971    4.75846E+07
815.93420    5.12988E+07
815.97876    5.09787E+07
816.02332    4.60437E+07
816.06787    4.17146E+07
816.11243    3.93161E+07
816.15698    3.70152E+07
816.20154    3.65016E+07
816.24609    3.45118E+07
816.29065    3.39371E+07
816.33521    3.45700E+07
816.37976    3.59582E+07
816.42432    3.76811E+07
816.46887    3.85169E+07
816.51343    3.76144E+07
816.55798    3.62914E+07
816.60254    3.54147E+07
816.64709    3.65590E+07
816.69165    3.58694E+07
816.73621    3.52428E+07
816.78070    3.51546E+07
816.82532    3.50734E+07
816.86981    3.43935E+07
816.91437    3.60958E+07
816.95892    3.64546E+07
817.00348    3.86398E+07
817.04803    3.85489E+07
817.09259    3.97689E+07
817.13715    3.82489E+07
817.18170    3.75361E+07
817.22626    3.62541E+07
817.27081    3.65598E+07
817.31537    3.70496E+07
817.35992    3.65473E+07
817.40448    3.66434E+07
817.44904    3.70762E+07
817.49359    3.63921E+07
817.53815    3.58833E+07
817.58270    3.53766E+07
817.62726    3.48066E+07
817.67181    3.44861E+07
817.71637    3.45402E+07
817.76093    3.39984E+07
817.80548    3.48452E+07
817.85004    3.63310E+07
817.89459    3.70961E+07
817.93915    3.78887E+07
817.98370    3.90147E+07
818.02826    4.23513E+07
818.07281    4.60460E+07
818.11737    4.92439E+07
818.16193    5.05402E+07
818.20648    4.92908E+07
818.25104    4.40988E+07
818.29559    4.15727E+07
818.34021    3.95078E+07
818.38477    3.79214E+07
818.42932    3.72392E+07
818.47388    3.71556E+07
818.51843    3.62686E+07
818.56299    3.66830E+07
818.60754    3.62756E+07
818.65210    3.61144E+07
818.69666    3.71072E+07
818.74121    3.71437E+07
818.78577    3.63257E+07
818.83032    3.63666E+07
818.87488    3.58008E+07
818.91943    3.68619E+07
818.96399    3.89059E+07
819.00854    3.96015E+07
819.03314    3.83869E+07
819.07770    3.84065E+07
819.12225    3.77478E+07
819.16681    3.76644E+07
819.21136    3.88758E+07
819.25592    3.84717E+07
819.30048    3.70147E+07
819.34503    3.62529E+07
819.38959    3.75390E+07
819.43414    3.78064E+07
819.47870    3.80896E+07
819.52325    3.83812E+07
819.56781    3.81505E+07
819.61243    3.64441E+07
819.65698    3.62259E+07
819.70154    3.61618E+07
819.74609    3.74325E+07
819.79065    3.77193E+07
819.83521    3.78899E+07
819.87976    3.79683E+07
819.92432    3.72411E+07
819.96887    3.68161E+07
820.01343    3.67936E+07
820.05798    3.70246E+07
820.10260    3.69310E+07
820.14716    3.74879E+07
820.19171    3.79240E+07
820.23627    3.92002E+07
820.28082    3.99983E+07
820.32538    4.05528E+07
820.36993    4.14243E+07
820.41449    4.21843E+07
820.45911    4.02007E+07
820.50366    3.90996E+07
820.54822    3.86899E+07
820.59277    3.89396E+07
820.63733    3.87923E+07
820.68188    3.95590E+07
820.72644    3.92037E+07
820.77100    4.14719E+07
820.81561    4.37840E+07
820.86017    4.42721E+07
820.90472    4.41251E+07
820.94928    4.20135E+07
820.99384    4.16324E+07
821.03839    4.06736E+07
821.08295    3.82906E+07
821.12756    3.81495E+07
821.17212    3.91187E+07
