; High solar activity reference from solar maximum over Jan 1979 to 1982 Jan (solar cycle 21). Stitched from FISM (1-115 nm) and NRLSSI2 (115-2398 nm). *1.52^2/1.6660^2 for aphelion
; wav (A)   flx (ph cm-2 s-1 nm-1)
  745.0    1.504E+08
  755.0    1.991E+08
  765.0    4.649E+08
  775.0    5.591E+08
  785.0    6.521E+08
  795.0    5.142E+08
  805.0    4.392E+08
  815.0    4.735E+08
  825.0    5.954E+08
  835.0    1.399E+09
  845.0    8.757E+08
  855.0    1.106E+09
  865.0    1.284E+09
  875.0    1.590E+09
  885.0    1.933E+09
  895.0    2.288E+09
  905.0    2.889E+09
  915.0    2.413E+09
  925.0    7.823E+08
  935.0    8.194E+08
  945.0    6.040E+08
  955.0    5.017E+08
  965.0    3.706E+08
  975.0    7.205E+09
  985.0    7.566E+08
  995.0    1.220E+09
 1005.0    6.848E+08
 1015.0    7.330E+08
 1025.0    6.759E+09
 1035.0    5.436E+09
 1045.0    1.087E+09
 1055.0    8.815E+08
 1065.0    1.069E+09
 1075.0    1.204E+09
 1085.0    1.979E+09
