67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-                                                                                                                                                                                                                       
-,-,-,-,-,-,-,-,k or kinf,-,-,k0,-,-,krad,-,-,T range,Reference,Notes                                                                                                                                                                                           
-,R1,R2,P1,P2,P3,type,A,B,C,A,B,C,A,B,C,F,-,-,-                                                                                                                                                                                                                 
40,OH,CO,CO2,H,-,2,1.44E-13,0,0,0.00E+00,0,0,0.00E+00,0,0,0,200-300,Atkinson06,
41,OH,N,NO,H,-,2,3.09E-09,-0.69,-48,0.00E+00,0,0,0.00E+00,0,0,0,103-294,Smith94,
42,OH,NO,HONO,-,-           ,4,6.37E-11,-0.1,0,1.94E-24,-2.6,0,0.00E+00,0,0,0.4,,Sander06,
43,OH,NO2,HONO2,-,-,4,2.80E-11,0,0,4.86E-23,-3,0,0.00E+00,0,0,0.4,,Sander06,
44,OH,NO2,HONO2,-,-,4,7.27E-10,-0.5,0,4.17E-22,-3.9,0,0.00E+00,0,0,0.4,,Sander06,
45,OH,NO3,HO2,NO2,-,2,2.20E-11,0,0,0.00E+00,0,0,0.00E+00,0,0,0,,Sander06,
46,OH,HO2NO2,H2O,NO2,O2,2,1.30E-12,0,380,0.00E+00,0,0,0.00E+00,0,0,0,298,Sander06,
47,OH,HONO2,H2O,NO3,-           ,2,2.40E-14,0,460,0.00E+00,0,0,0.00E+00,0,0,0,200-300,Sander06,*
48,OH,HONO2,H2O,NO3,-           ,4,2.70E-17,0,2199,6.50E-34,0,1335,0.00E+00,0,0,0.4,200-300,Sander06,*
49,N,O2,NO,O,-,2,1.50E-11,0,-3600,0.00E+00,0,0,0.00E+00,0,0,0,,Sander06,
50,N,O3,NO,O2,-           ,3,1.00E-16,0,0,0.00E+00,0,0,0.00E+00,0,0,0.4,,Nair#15,
51,N,NO,N2,O,-,2,2.10E-11,0,100,0.00E+00,0,0,0.00E+00,0,0,0,,Sander06,
52,N,NO2,N2O,O,-,2,5.80E-12,0,220,0.00E+00,0,0,0.00E+00,0,0,0,,Sander06,
53,N2D,CO2,NO,CO,-,2,3.60E-13,0,0,0.00E+00,0,0,0.00E+00,0,0,0,298,Herron99,
54,N2D,NO,N2,O,-,2,6.00E-11,0,0,0.00E+00,0,0,0.00E+00,0,0,0,298,Herron99,
55,N2D,N2,N,N2,-           ,2,1.70E-14,0,0,0.00E+00,0,0,0.00E+00,0,0,0,298,Herron99,
56,NO,O3,NO2,O2,-,2,3.00E-12,0,-1500,0.00E+00,0,0,0.00E+00,0,0,0,,Sander06,
57,NO,NO3,NO2,NO2,-,2,1.50E-11,0,170,0.00E+00,0,0,0.00E+00,0,0,0,,Sander06,
58,NO2,O3,NO3,O2,-,2,1.20E-13,0,-2450,0.00E+00,0,0,0.00E+00,0,0,0,,Sander06,
59,NO2,NO3,NO,NO2,O2,2,4.50E-14,0,-1260,0.00E+00,0,0,0.00E+00,0,0,0,,Sander06,
60,NO2,NO3,N2O5,-,-,4,7.59E-11,-0.7,0,1.59E-19,-4.4,0,0.00E+00,0,0,0.4,,Sander06,
61,HO2,HO2,H2O2,O2,-,2,4.20E-12,0,-240,0.00E+00,0,0,0.00E+00,0,0,0,,Anbar93,*
62,HO2,HO2,H2O2,O2,-,3,1.50E-11,0,0,1.70E-28,-0.8,0,0.00E+00,0,0,0.4,,Anbar93,*
63,HO2,O3,O2,O2,OH,2,1.00E-14,0,-490,0.00E+00,0,0,0.00E+00,0,0,0,,Sander06,
64,HO2,N,NO,OH,-,2,2.19E-11,0,0,0.00E+00,0,0,0.00E+00,0,0,0,300,Brune83,
65,HO2,NO,NO2,OH,-,2,3.50E-12,0,250,0.00E+00,0,0,0.00E+00,0,0,0,,Sander06,
66,HO2,NO2,HO2NO2,-,-,4,1.54E-09,-1.1,0,5.29E-23,-3.4,0,0.00E+00,0,0,0.4,,Sander06,
67,HO2,NO3,O2,HONO2,-,2,9.20E-13,0,0,0.00E+00,0,0,0.00E+00,0,0,0,298,Sander06,
