Energy (eV),Cross Section
1,5.00E-16
1.5,4.73E-16
2,4.37E-16
2.5,4.70E-16
3,5.25E-16
3.5,6.40E-16
3.8,8.20E-16
4,8.15E-16
4.5,5.80E-16
5,6.00E-16
6,6.60E-16
7,7.25E-16
8,8.06E-16
10,9.95E-16
15,1.25E-15
20,1.34E-15
25,1.36E-15
30,1.34E-15
40,1.19E-15
50,1.05E-15
60,9.60E-16
100,7.55E-16
200,5.07E-16
300,4.01E-16
400,3.39E-16
500,2.98E-16
600,2.68E-16
700,2.45E-16
800,2.26E-16
900,2.11E-16
1000,1.99E-16
