0.1,0.2
0.3,0.2
0.5,0.2008
0.71,0.21
0.93,0.2201
1.15,0.2206
1.38,0.2309
1.61,0.2316
1.84,0.2422
2.09,0.2432
2.34,0.2541
2.59,0.2554
2.85,0.2666
3.12,0.2682
3.39,0.2797
3.67,0.2816
3.96,0.2934
4.26,0.2957
4.56,0.3079
4.87,0.3105
5.18,0.323
5.51,0.326
5.84,0.3389
6.18,0.3423
6.53,0.3556
6.89,0.3594
7.25,0.3731
7.63,0.3773
8.01,0.3915
8.41,0.3962
8.81,0.4108
9.22,0.4159
9.65,0.431
10.08,0.4367
10.53,0.4523
10.98,0.4585
11.45,0.4746
11.93,0.4813
12.42,0.498
12.92,0.5053
13.43,0.5226
13.96,0.5305
14.5,0.5484
15.05,0.5569
15.62,0.5755
16.2,0.5847
16.79,0.6039
17.4,0.6138
18.02,0.6337
18.66,0.6443
19.32,0.665
19.99,0.6764
20.67,0.6979
21.38,0.7101
22.1,0.7324
22.84,0.7454
23.6,0.7686
24.37,0.7825
25.17,0.8066
25.98,0.8214
26.81,0.8464
27.67,0.8623
28.54,0.8883
29.44,0.9052
30.36,0.9322
31.3,0.9502
32.26,0.9783
33.25,0.9974
34.26,1.027
35.3,1.047
36.36,1.078
37.45,1.099
38.57,1.131
39.71,1.154
40.88,1.187
42.08,1.211
43.31,1.246
44.56,1.271
45.85,1.307
47.17,1.334
48.53,1.372
49.91,1.401
51.33,1.44
52.79,1.47
54.28,1.511
55.81,1.543
57.37,1.586
58.97,1.62
60.62,1.664
62.3,1.7
64.02,1.747
65.79,1.785
67.6,1.833
69.45,1.873
71.35,1.924
73.29,1.966
75.29,2.019
77.33,2.064
79.42,2.12
81.56,2.167
83.76,2.225
86.01,2.274
88.31,2.335
90.67,2.387
93.09,2.45
95.57,2.506
98.11,2.572
100.71,2.63
103.37,2.699
106.1,2.76
108.9,2.833
111.77,2.897
114.7,2.973
117.71,3.041
120.79,3.121
123.95,3.192
127.18,3.275
130.49,3.351
133.89,3.438
137.36,3.517
140.93,3.608
144.58,3.691
148.32,3.787
152.15,3.875
156.07,3.974
160.09,4.067
164.21,4.171
168.43,4.269
172.75,4.378
177.18,4.48
181.72,4.595
186.37,4.703
191.13,4.823
196.01,4.936
201.01,5.062
206.13,5.181
211.38,5.313
216.76,5.438
222.26,5.576
227.9,5.708
233.68,5.853
239.61,5.991
245.67,6.143
251.89,6.288
258.26,6.447
264.78,6.6
271.46,6.767
278.31,6.928
285.33,7.102
292.51,7.271
299.88,7.454
307.42,7.632
315.15,7.824
323.07,8.011
331.18,8.212
339.49,8.408
348,8.619
356.72,8.825
365.66,9.046
374.81,9.263
384.19,9.495
393.8,9.722
403.64,9.966
413.73,10.2
424.06,10.46
434.65,10.71
445.49,10.98
456.6,11.24
467.98,11.52
479.64,11.8
491.59,12.09
503.83,12.39
516.37,12.69
529.22,13
542.38,13.32
555.86,13.64
569.68,13.98
583.83,14.32
598.33,14.68
613.18,15.03
628.4,15.4
643.99,15.78
659.96,16.17
676.33,16.56
693.09,16.97
710.27,17.38
727.86,17.81
745.89,18.24
764.36,18.69
783.28,19.15
802.66,19.62
822.52,20.1
842.87,20.59
863.71,21.09
885.07,21.62
906.95,22.14
929.36,22.69
952.32,23.24
975.85,23.81
1000,24.49
