35
; Whole Heliosphere Interval reference solar spectrum for low solar activity.
; Values are as measured at Earth, but scaled *1.52^2/1.3814^2 for perihelion.
; wave (A)   flux (photons cm-2 s-1 nm-1)
  745.0    1.999E+08
  755.0    2.968E+08
  765.0    9.033E+08
  775.0    8.134E+08
  785.0    1.217E+09
  795.0    8.047E+08
  805.0    4.540E+08
  815.0    5.503E+08
  825.0    6.348E+08
  835.0    1.926E+09
  845.0    9.174E+08
  855.0    1.091E+09
  865.0    1.246E+09
  875.0    1.411E+09
  885.0    1.673E+09
  895.0    1.992E+09
  905.0    2.562E+09
  915.0    1.927E+09
  925.0    5.975E+08
  935.0    6.820E+08
  945.0    5.354E+08
  955.0    3.185E+08
  965.0    1.487E+08
  975.0    7.040E+09
  985.0    3.942E+08
  995.0    7.579E+08
 1005.0    2.449E+08
 1015.0    2.969E+08
 1025.0    4.278E+09
 1035.0    4.692E+09
 1045.0    3.558E+08
 1055.0    3.692E+08
 1065.0    4.225E+08
 1075.0    5.630E+08
 1085.0    1.042E+09
