; High solar activity reference from solar maximum over Jan 1979 to 1982 Jan (solar cycle 21). Stitched from FISM (1-115 nm) and NRLSSI2 (115-2398 nm). 
; wav (A)   flx (ph cm-2 s-1 nm-1)
  745.0    1.807E+08
  755.0    2.392E+08
  765.0    5.585E+08
  775.0    6.717E+08
  785.0    7.834E+08
  795.0    6.177E+08
  805.0    5.276E+08
  815.0    5.688E+08
  825.0    7.153E+08
  835.0    1.681E+09
  845.0    1.052E+09
  855.0    1.329E+09
  865.0    1.542E+09
  875.0    1.910E+09
  885.0    2.322E+09
  895.0    2.749E+09
  905.0    3.471E+09
  915.0    2.899E+09
  925.0    9.398E+08
  935.0    9.844E+08
  945.0    7.256E+08
  955.0    6.027E+08
  965.0    4.452E+08
  975.0    8.655E+09
  985.0    9.089E+08
  995.0    1.466E+09
 1005.0    8.227E+08
 1015.0    8.806E+08
 1025.0    8.120E+09
 1035.0    6.530E+09
 1045.0    1.306E+09
 1055.0    1.059E+09
 1065.0    1.284E+09
 1075.0    1.447E+09
 1085.0    2.378E+09
