75
; Whole Heliosphere Interval reference solar spectrum for low solar activity.
; Values are as measured at Earth. 
; wave (A)   flux (photons cm-2 s-1 nm-1)
    5.0    1.926E+05
   15.0    1.010E+07
   25.0    1.823E+07
   35.0    1.372E+07
   45.0    4.667E+07
   55.0    5.150E+07
   65.0    6.642E+07
   75.0    8.537E+07
   85.0    9.499E+07
   95.0    1.009E+08
  105.0    8.695E+07
  115.0    7.429E+07
  125.0    3.879E+07
  135.0    4.929E+07
  145.0    1.048E+08
  155.0    7.644E+07
  165.0    1.766E+08
  175.0    1.689E+09
  185.0    1.004E+09
  195.0    6.051E+08
  205.0    3.267E+08
  215.0    2.847E+08
  225.0    5.735E+08
  235.0    3.662E+08
  245.0    4.369E+08
  255.0    7.087E+08
  265.0    1.287E+08
  275.0    2.479E+08
  285.0    9.945E+07
  295.0    1.738E+08
  305.0    6.344E+09
  315.0    4.856E+08
  325.0    1.085E+08
  335.0    1.344E+08
  345.0    4.557E+08
  355.0    2.695E+08
  365.0    6.639E+08
  375.0    9.169E+07
  385.0    5.636E+07
  395.0    5.516E+07
  405.0    1.170E+08
  415.0    7.266E+07
  425.0    6.111E+07
  435.0    2.826E+08
  445.0    7.355E+07
  455.0    7.935E+07
  465.0    4.402E+08
  475.0    1.093E+08
  485.0    2.403E+08
  495.0    3.443E+08
  505.0    4.516E+08
  515.0    8.198E+07
  525.0    1.452E+08
  535.0    2.500E+08
  545.0    7.902E+07
  555.0    8.581E+08
  565.0    1.439E+08
  575.0    8.913E+07
  585.0    1.481E+09
  595.0    1.788E+08
  605.0    4.987E+08
  615.0    2.249E+08
  625.0    1.664E+09
  635.0    5.843E+08
  645.0    4.616E+07
  655.0    5.866E+07
  665.0    8.169E+07
  675.0    6.728E+07
  685.0    2.324E+08
  695.0    1.057E+08
  705.0    5.113E+08
  715.0    1.597E+08
  725.0    1.099E+08
  735.0    1.223E+08
  745.0    1.651E+08
