# 12C16O photoabsorption. 300K. Generated by Alan Heays 2016-04-21.
# wavelength(nm) cross_section(cm2)
89.60000 2.88212e-18
89.60010 -2.74452e-18
89.60020 2.36301e-17
89.60030 2.02674e-17
89.60040 -2.88500e-17
89.60050 -2.27378e-17
89.60060 1.50841e-17
89.60070 1.90689e-17
89.60080 2.96800e-18
89.60090 -1.66650e-17
89.60100 -1.37246e-17
89.60110 -4.74319e-18
89.60120 -1.10234e-17
89.60130 -2.59682e-17
89.60140 -6.13627e-19
89.60150 3.70246e-17
89.60160 2.29223e-17
89.60170 2.57529e-17
89.60180 1.41261e-17
89.60190 -3.01538e-18
89.60200 8.79744e-18
89.60210 -1.38621e-18
89.60220 1.12318e-17
89.60230 1.63554e-18
89.60240 7.90313e-18
89.60250 2.71777e-17
89.60260 -2.37914e-17
89.60270 9.79646e-19
89.60280 1.80591e-17
89.60290 -1.18525e-17
89.60300 8.40667e-18
89.60310 -4.78065e-18
89.60320 -1.99340e-18
89.60330 -1.95954e-17
89.60340 -3.17675e-17
89.60350 9.78114e-18
89.60360 -2.48995e-17
89.60370 -2.37916e-18
89.60380 4.03883e-17
89.60390 -2.36251e-17
89.60400 -1.19297e-17
89.60410 2.81732e-17
89.60420 4.60767e-18
89.60430 -2.93724e-18
89.60440 -1.63065e-17
89.60450 3.40416e-19
89.60460 8.23753e-17
89.60470 8.41410e-17
89.60480 4.04754e-18
89.60490 -1.46512e-17
89.60500 -7.58911e-18
89.60510 -1.98362e-17
89.60520 -9.30308e-18
89.60530 5.35754e-18
89.60540 5.75625e-18
89.60550 3.79072e-18
89.60560 -6.08084e-18
89.60570 1.44724e-18
89.60580 1.13281e-17
89.60590 1.83120e-18
89.60600 1.14668e-17
89.60610 -1.22339e-17
89.60620 -2.26388e-17
89.60630 2.12538e-17
89.60640 -7.06783e-18
89.60650 1.02554e-17
89.60660 4.46297e-17
89.60670 -3.59126e-17
89.60680 -2.18436e-17
89.60690 1.52184e-17
89.60700 -2.69792e-17
89.60710 2.30271e-18
89.60720 4.75840e-17
89.60730 3.49747e-17
89.60740 1.36489e-17
89.60750 2.85485e-18
89.60760 -8.09733e-18
89.60770 2.92356e-17
89.60780 4.88956e-17
89.60790 -1.08010e-17
89.60800 1.59867e-17
89.60810 5.07327e-17
89.60820 2.28249e-17
89.60830 2.93304e-17
89.60840 -2.72224e-18
89.60850 6.59409e-18
89.60860 3.65002e-17
89.60870 1.55250e-17
89.60880 4.71315e-17
89.60890 2.33066e-17
89.60900 -4.75196e-17
89.60910 -2.64961e-17
89.60920 2.42539e-17
89.60930 2.73169e-17
89.60940 5.96208e-18
89.60950 4.21047e-18
89.60960 -1.40888e-18
89.60970 3.24523e-18
89.60980 3.62223e-17
89.60990 1.43171e-17
89.61000 -2.24688e-17
89.61010 7.12116e-18
89.61020 2.06650e-17
89.61030 4.68764e-18
89.61040 1.82752e-17
89.61050 5.65748e-18
89.61060 -1.57119e-17
89.61070 -5.61369e-18
89.61080 -5.66998e-18
89.61090 -7.01420e-18
89.61100 -1.73524e-17
89.61110 -2.52039e-17
89.61120 -1.93743e-17
89.61130 -2.26418e-17
89.61140 -1.79603e-17
89.61150 -8.16836e-18
89.61160 2.34317e-17
89.61170 3.04113e-17
89.61180 -2.53485e-18
89.61190 1.59123e-17
89.61200 4.28092e-17
89.61210 2.51049e-17
89.61220 -1.36990e-17
89.61230 3.47120e-18
89.61240 5.47232e-17
89.61250 5.61447e-19
89.61260 -2.82275e-17
89.61270 2.77550e-17
89.61280 3.17845e-17
89.61290 2.05396e-17
89.61300 3.36404e-17
89.61310 2.89904e-17
89.61320 1.58284e-17
89.61330 4.76567e-17
89.61340 7.49840e-17
89.61350 2.66904e-17
89.61360 2.03766e-18
89.61370 -2.68116e-18
