# 13C16O photoabsorption. 300K. Generated by Alan Heays 2016-04-21.
# wavelength(nm) cross_section(cm2)
89.62410 0.00000e+00
89.62420 0.00000e+00
89.62430 0.00000e+00
89.62440 0.00000e+00
89.62450 0.00000e+00
89.62460 0.00000e+00
89.62470 0.00000e+00
89.62480 0.00000e+00
89.62490 0.00000e+00
89.62500 0.00000e+00
89.62510 0.00000e+00
89.62520 0.00000e+00
89.62530 0.00000e+00
89.62540 0.00000e+00
89.62550 0.00000e+00
89.62560 0.00000e+00
89.62570 0.00000e+00
89.62580 0.00000e+00
89.62590 0.00000e+00
89.62600 0.00000e+00
89.62610 0.00000e+00
89.62620 0.00000e+00
89.62630 0.00000e+00
89.62640 0.00000e+00
89.62650 0.00000e+00
89.62660 0.00000e+00
89.62670 0.00000e+00
89.62680 0.00000e+00
89.62690 0.00000e+00
89.62700 0.00000e+00
89.62710 0.00000e+00
89.62720 0.00000e+00
89.62730 0.00000e+00
89.62740 0.00000e+00
89.62750 0.00000e+00
89.62760 0.00000e+00
89.62770 0.00000e+00
89.62780 0.00000e+00
89.62790 0.00000e+00
89.62800 0.00000e+00
89.62810 0.00000e+00
89.62820 0.00000e+00
89.62830 0.00000e+00
89.62840 0.00000e+00
89.62850 0.00000e+00
89.62860 0.00000e+00
89.62870 0.00000e+00
89.62880 0.00000e+00
89.62890 0.00000e+00
89.62900 0.00000e+00
89.62910 0.00000e+00
89.62920 0.00000e+00
89.62930 0.00000e+00
89.62940 0.00000e+00
89.62950 0.00000e+00
89.62960 0.00000e+00
89.62970 0.00000e+00
89.62980 0.00000e+00
89.62990 0.00000e+00
89.63000 0.00000e+00
89.63010 0.00000e+00
89.63020 0.00000e+00
89.63030 0.00000e+00
89.63040 0.00000e+00
89.63050 0.00000e+00
89.63060 0.00000e+00
89.63070 0.00000e+00
89.63080 0.00000e+00
89.63090 0.00000e+00
89.63100 0.00000e+00
89.63110 0.00000e+00
89.63120 0.00000e+00
89.63130 0.00000e+00
89.63140 0.00000e+00
89.63150 0.00000e+00
89.63160 0.00000e+00
89.63170 0.00000e+00
89.63180 0.00000e+00
89.63190 0.00000e+00
89.63200 0.00000e+00
89.63210 0.00000e+00
89.63220 0.00000e+00
89.63230 0.00000e+00
89.63240 0.00000e+00
89.63250 0.00000e+00
89.63260 0.00000e+00
89.63270 0.00000e+00
89.63280 0.00000e+00
89.63290 0.00000e+00
89.63300 0.00000e+00
89.63310 0.00000e+00
89.63320 0.00000e+00
89.63330 0.00000e+00
89.63340 0.00000e+00
89.63350 0.00000e+00
89.63360 0.00000e+00
89.63370 0.00000e+00
89.63380 0.00000e+00
89.63390 0.00000e+00
89.63400 0.00000e+00
89.63410 0.00000e+00
89.63420 0.00000e+00
89.63430 0.00000e+00
89.63440 0.00000e+00
89.63450 0.00000e+00
89.63460 0.00000e+00
89.63470 0.00000e+00
89.63480 0.00000e+00
89.63490 0.00000e+00
89.63500 0.00000e+00
89.63510 0.00000e+00
