    80     8    20
Wavelength (Angstroms)
  5.850E-02  4.756E-02  3.757E-02  3.332E-02  3.018E-02  2.736E-02  2.495E-02  2.255E-02  2.014E-02  1.726E-02
  1.378E-02  1.028E-02  7.182E-03  4.424E-03  1.656E-03  1.307E-04  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
CO2          + hv           = COP          + O1D          + E            +              885.0
  2.469E-01  2.413E-01  2.354E-01  2.300E-01  2.245E-01  2.189E-01  2.131E-01  2.073E-01  2.017E-01  1.960E-01
  1.905E-01  1.849E-01  1.793E-01  1.736E-01  1.680E-01  1.624E-01  1.569E-01  1.512E-01  1.453E-01  1.398E-01
  1.339E-01  1.281E-01  1.224E-01  1.168E-01  1.112E-01  1.057E-01  1.001E-01  9.448E-02  8.883E-02  8.318E-02
  7.831E-02  7.917E-02  8.003E-02  8.089E-02  8.175E-02  8.261E-02  8.347E-02  8.433E-02  8.519E-02  8.605E-02
  8.691E-02  8.777E-02  8.863E-02  8.949E-02  8.583E-02  8.217E-02  7.852E-02  7.486E-02  7.120E-02  6.754E-02
  6.388E-02  6.337E-02  6.146E-02  5.509E-02  4.933E-02  4.378E-02  4.034E-02  3.691E-02  3.372E-02  3.138E-02
  2.909E-02  2.683E-02  2.500E-02  6.696E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
CO2          + hv           = CO           + O1D          +              +              885.0
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.873E-04  1.575E-03  2.362E-03  3.149E-03  3.936E-03  4.724E-03
  5.511E-03  9.865E-03  1.536E-02  2.085E-02  2.627E-02  3.177E-02  3.721E-02  4.273E-02  4.487E-02  4.324E-02
  4.191E-02  4.056E-02  3.968E-02  3.570E-02  2.791E-02  2.007E-02  3.968E-02  1.581E-02  2.949E-02  4.579E-02
  5.769E-02  4.457E-02  7.309E-02  1.279E-01  6.610E-02  4.911E-02  1.653E-01  1.439E-01  1.228E-01  1.613E-01
CO2          + hv           = CO           + O3P          +              +              885.0
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.044E-04  1.409E-03  2.113E-03  2.818E-03  3.522E-03  4.227E-03
  4.931E-03  8.694E-03  1.377E-02  1.960E-02  2.538E-02  3.118E-02  3.543E-02  3.972E-02  4.700E-02  4.514E-02
