52,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-
0,0,0,0,-,-,0,0,k or kinf,0,0,k0,0,0,krad,0,0,T range,Reference,Notes                                                                                                                                                                                           
0,R1,R2,P1,P2,P3,type,A,B,C,A,B,C,A,B,C,F,0,0,-
1,H2P         ,H           ,HP          ,H2          ,-,-2,6.40E-10,0,0,0,0,0,0,0,0,0,-,McEwan07,-
2,H2P         ,H2          ,H3P         ,H           ,-,-2,2.00E-09,0,0,0,0,0,0,0,0,0,-,McEwan07,-
3,H2P         ,N2          ,N2HP        ,H           ,-,-2,2.00E-09,0,0,0,0,0,0,0,0,0,-,McEwan07,-
4,H2P         ,CO          ,HCOP        ,H           ,-,-2,2.90E-09,0,0,0,0,0,0,0,0,0,-,McEwan07,-
5,N2P        ,H2         ,N2HP       ,H          ,-,-2,1.29E-09,0,0,0,0,0,0,0,0,0,-,Dutuit13,-
6,N2HP       ,CO         ,HCOP       ,N2         ,-,-2,8.80E-10,0,0,0,0,0,0,0,0,0,-,McEwan07,-
7,OP,H,HP,O3P,-,-2,6.40E-10,0,0,0,0,0,0,0,0,0,-,Anicich93,-
8,OP,H2,OHP,H,-,-2,1.62E-09,0,0,0,0,0,0,0,0,0,-,Anicich93,-
9,OP,N2,NOP,N,-,-2,1.85E-12,1.37,-28.592,0,0,0,0,0,0,0,-,"LeGarrec03,Anicich93","T=23-222K, personal fit"
10,OHP,CO,HCOP,O3P,-,-2,8.40E-10,0,0,0,0,0,0,0,0,0,-,Anicich93,-
11,COP         ,H           ,HP          ,CO          ,-,-2,4.00E-10,0,0,0,0,0,0,0,0,0,-,McEwan07,-
12,COP         ,H2          ,HCOP        ,H           ,-,-2,7.28E-10,0,0,0,0,0,0,0,0,0,-,McEwan07,-
13,COP         ,H2          ,HOCP        ,H           ,-,-2,6.72E-10,0,0,0,0,0,0,0,0,0,-,McEwan07,-
14,HOCP        ,H2          ,H3P         ,CO          ,-,-2,2.68E-10,0,0,0,0,0,0,0,0,0,-,McEwan07,-
15,HOCP        ,H2          ,HCOP        ,H2          ,-,-2,2.02E-10,0,0,0,0,0,0,0,0,0,-,McEwan07,-
16,HP,H2,H2P,H,-,-2,1.00E-09,0,0,0,0,0,0,0,0,0,-,Cravens87,
17,HP,O3P,OP,H,-,-2,3.75E-10,0,0,0,0,0,0,0,0,0,-,Anicich86,
18,HP,CO2,HCOP,O3P,-,-2,3.80E-09,0,0,0,0,0,0,0,0,0,-,Moses00,
19,H2P         ,O3P,OHP,H,-,-2,1.50E-09,0,0,0,0,0,0,0,0,0,-,Krasnopolsky02,
20,H2P         ,CO         ,COP,H2          ,-,-2,6.44E-10,0,0,0,0,0,0,0,0,0,-,Anicich86,
21,H2P         ,Ar,ArHP,H,-,-2,1.24E-09,0,0,0,0,0,0,0,0,0,-,Anicich93,
22,H2P         ,CO2,HCO2P,H          ,-,-2,2.35E-09,0,0,0,0,0,0,0,0,0,-,Anicich86,
