    35     19    4
Wavelength (Angstroms)
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
Ar           + hv           = ArP          + E            +              +             786.8
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
H           1
Total Absorption Cross Section (cm^2)
  3.668E-18  3.803E-18  3.941E-18  4.083E-18  4.226E-18  4.374E-18  4.524E-18  4.678E-18  4.833E-18  4.993E-18
  5.155E-18  5.321E-18  5.489E-18  5.661E-18  5.835E-18  6.013E-18  6.194E-18  1.207E-18  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
Total Ionization Cross Section (cm^2)
  3.668E-18  3.803E-18  3.941E-18  4.083E-18  4.226E-18  4.374E-18  4.524E-18  4.678E-18  4.833E-18  4.993E-18
  5.155E-18  5.321E-18  5.489E-18  5.661E-18  5.835E-18  6.013E-18  6.194E-18  1.207E-18  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
H            + hv           = HP           + E            +              +             911.8
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
H2          3
Total Absorption Cross Section (cm^2)
  1.123E-17  1.195E-17  1.249E-17  1.305E-17  1.384E-17  1.433E-17  1.317E-17  1.210E-17  1.243E-17  1.078E-17
  1.062E-17  2.817E-17  2.246E-17  1.770E-17  1.965E-17  1.060E-17  1.752E-17  2.450E-17  1.174E-17  3.225E-17
  5.046E-17  1.501E-17  6.606E-17  1.875E-17  7.457E-17  2.550E-17  4.833E-17  4.194E-17  2.635E-17  2.232E-17
  1.033E-17  1.629E-17  1.733E-17  9.763E-18  2.797E-18
Total Ionization Cross Section (cm^2)
  9.547E-18  8.284E-18  6.975E-18  5.620E-18  4.219E-18  2.773E-18  6.221E-19  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
H2           + hv           = H2P          + E            +              +             803.7
  7.538E-01  6.053E-01  4.812E-01  3.668E-01  2.564E-01  1.611E-01  3.881E-02  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
